final_score,candidate_id,years_experience,implied_experience_years,experience_gap,total_jobs,avg_job_duration_months,max_job_duration_months,min_job_duration_months,total_skill_count,ai_skill_count,expert_skill_count,advanced_skill_count,intermediate_skill_count,beginner_skill_count,proficiency_weighted_skill_score,endorsement_weighted_skill_score,evidence_retrieval,evidence_ranking,evidence_recommendation,evidence_search,evidence_relevance,evidence_personalization,evidence_evaluation,evidence_machine_learning,evidence_nlp,evidence_production_ml,education_count,highest_education_tier,tier1_count,tier2_count,tier3_count,tier4_count,cs_degree_flag,ai_degree_flag,recruiter_response_rate,interview_completion_rate,offer_acceptance_rate,profile_views_30d,applications_30d,search_appearance_30d,saved_by_recruiters_30d,endorsements_received,open_to_work_flag,willing_to_relocate,engagement_score,verified_email,verified_phone,linkedin_connected,github_available,github_activity_score,assessment_count,avg_assessment_score,verification_score,notice_period_days,availability_score,trust_score,honeypot_flag_count,salary_inverted_flag,skill_duration_overflow_flag,date_paradox_flag,inflated_experience_flag,unendorsed_expert_flag,capability_score,pipeline_score,production_score,experience_quality_score,confidence_category
0.7790123111631216,CAND_0046064,8.9,8.83,0.07,3,35.333333333333336,36,34,16,11,6,8,2,0,37.0,1589.0,2.5649493574615367,3.091042453358316,1.0986122886681098,0.0,0.0,0.0,2.3978952727983707,1.6094379124341003,1.791759469228055,1.9459101490553132,2,tier_1,2,0,0,0,0,1,0.78,0.8,-1.0,323,3,802,25,132,1,0,0.7826000000000002,1,1,1,1,67.3,1,64.1,0.8666666666666667,30,1.0,1.0,0,0,0,0,0,0,1.0,1.0,0.75,0.5,High Confidence
0.7701929337203305,CAND_0018499,7.2,7.17,0.03,3,28.666666666666668,42,18,17,11,9,5,2,1,38.0,1010.0,2.70805020110221,3.1780538303479458,0.0,0.0,0.0,0.0,2.5649493574615367,2.0794415416798357,1.3862943611198906,2.1972245773362196,2,tier_1,2,0,0,0,0,1,0.61,0.8,0.75,75,18,1291,16,189,1,1,0.76,1,1,1,1,94.8,2,83.2,0.9333333333333333,15,1.0,1.0,0,0,0,0,0,0,0.9,1.0,0.75,0.75,High Confidence
0.7647637877209367,CAND_0071974,7.8,7.67,0.13,3,30.666666666666668,50,14,19,13,7,10,2,0,43.0,1293.0,1.6094379124341003,2.833213344056216,1.6094379124341003,0.0,0.0,0.0,1.6094379124341003,2.0794415416798357,0.0,1.9459101490553132,1,tier_1,1,0,0,0,0,1,0.76,0.85,-1.0,335,14,132,50,167,1,0,0.8182000000000001,1,1,1,1,82.8,4,79.675,1.0,45,0.8,1.0,0,0,0,0,0,0,1.0,1.0,0.75,0.75,High Confidence
0.757536613944691,CAND_0033861,8.0,7.92,0.08,3,31.666666666666668,39,26,23,16,9,10,4,0,52.0,1554.0,2.302585092994046,2.4849066497880004,1.0986122886681098,0.0,0.0,0.0,1.3862943611198906,1.0986122886681098,1.791759469228055,2.1972245773362196,2,tier_1,1,1,0,0,1,1,0.16,0.83,0.82,90,11,990,4,192,0,0,0.5352,1,1,1,1,32.6,3,79.06666666666666,1.0,30,0.8333333333333334,1.0,0,0,0,0,0,0,1.0,1.0,1.0,0.75,Medium Confidence
0.7545914074625378,CAND_0079387,6.9,6.75,0.15,4,20.25,22,18,20,9,8,5,7,0,29.0,518.0,2.0794415416798357,1.0986122886681098,1.3862943611198906,0.6931471805599453,1.0986122886681098,0.0,1.6094379124341003,2.6390573296152584,1.3862943611198906,1.9459101490553132,2,tier_1,1,1,0,0,1,1,0.81,0.9,0.5,241,4,189,22,100,1,0,0.8644000000000002,1,1,1,1,64.1,5,69.53999999999999,1.0,30,1.0,1.0,0,0,0,0,0,0,0.9,0.8,0.5,0.75,High Confidence
0.7500129550640265,CAND_0077337,7.0,6.92,0.08,4,20.75,44,6,20,13,11,4,5,0,44.0,1135.0,2.6390573296152584,2.6390573296152584,1.0986122886681098,0.0,0.0,0.0,1.9459101490553132,1.6094379124341003,1.0986122886681098,2.0794415416798357,1,tier_1,1,0,0,0,1,0,0.95,0.73,0.77,106,9,240,32,27,1,1,0.8011999999999999,1,1,1,1,68.0,1,63.2,0.8666666666666667,60,0.6,1.0,0,0,0,0,0,0,0.9,1.0,1.0,0.75,Medium Confidence
0.7398812116357233,CAND_0030953,7.8,7.67,0.13,5,18.4,30,7,14,10,4,7,3,0,32.0,948.0,2.4849066497880004,1.9459101490553132,1.6094379124341003,1.6094379124341003,1.0986122886681098,1.0986122886681098,1.9459101490553132,2.4849066497880004,1.3862943611198906,1.791759469228055,2,tier_1,1,1,0,0,0,1,0.63,0.62,0.83,153,5,472,46,89,0,0,0.6704,1,1,0,1,21.0,4,67.65,0.8,45,0.6666666666666667,1.0,0,0,0,0,0,0,0.8,0.8,0.5,0.75,High Confidence
0.7349927005389147,CAND_0055905,8.1,8.0,0.1,3,32.0,45,14,13,7,6,7,0,0,25.0,920.0,2.70805020110221,2.8903717578961645,0.0,0.0,0.0,0.0,2.1972245773362196,1.791759469228055,1.0986122886681098,2.302585092994046,2,tier_1,1,1,0,0,1,1,0.87,0.67,0.93,196,9,392,13,209,1,0,0.7294000000000002,1,1,1,0,0.0,4,69.775,0.8,30,1.0,1.0,0,0,0,0,0,0,0.9,1.0,1.0,0.75,Medium Confidence
0.734346613944691,CAND_0011687,7.8,7.67,0.13,2,46.0,52,40,13,11,7,5,1,0,38.0,1188.0,1.6094379124341003,2.4849066497880004,1.0986122886681098,0.0,0.0,0.0,2.1972245773362196,1.791759469228055,1.3862943611198906,1.791759469228055,1,tier_1,1,0,0,0,0,1,0.89,0.77,0.6,309,16,403,27,77,1,0,0.7938000000000002,1,1,1,1,76.3,1,78.1,0.8666666666666667,15,1.0,1.0,0,0,0,0,0,0,0.9,0.8,0.75,0.5,Medium Confidence
0.7307721572094154,CAND_0088025,8.6,8.5,0.1,3,34.0,45,13,19,15,11,5,1,2,54.0,1811.0,2.3978952727983707,2.772588722239781,1.6094379124341003,0.0,0.0,0.0,2.0794415416798357,2.1972245773362196,0.0,1.3862943611198906,1,tier_2,0,1,0,0,0,1,0.83,0.95,0.82,201,17,1398,19,18,1,0,0.8326,1,1,1,1,74.6,2,90.35,0.9333333333333333,90,0.19999999999999996,1.0,0,0,0,0,0,0,1.0,1.0,0.5,0.75,Medium Confidence
